# k1 k2 k3 mean_bk mean_bk_smooth
0.045 0.165 0.165 3.175924351575412743e+02 3.162305712294663635e+02
0.045 0.165 0.175 3.095987590466582446e+02 3.093708546012426837e+02
0.045 0.165 0.185 3.092459759292681838e+02 3.066733897805206084e+02
0.045 0.165 0.195 3.167233189383796343e+02 3.079278053782477969e+02
0.045 0.165 0.205 3.122162485277257815e+02 3.130416827201082128e+02
0.045 0.175 0.175 3.060472950583068723e+02 2.991671033845321972e+02
0.045 0.175 0.185 2.934701977926258110e+02 2.931409758635090270e+02
0.045 0.175 0.195 3.013061421529790209e+02 2.909823226199508781e+02
0.045 0.175 0.205 2.957744355698229697e+02 2.925159467128984829e+02
0.045 0.175 0.215 2.922334232820392117e+02 2.976667593083434440e+02
0.045 0.185 0.185 2.894649000753549899e+02 2.839084784072845764e+02
0.045 0.185 0.195 2.805564143053766770e+02 2.785593029599455122e+02
0.045 0.185 0.205 2.777626300464922338e+02 2.768325650717033568e+02
0.045 0.185 0.215 2.852136325645857369e+02 2.785815288609396134e+02
0.045 0.185 0.225 2.779013332340603597e+02 2.837450795048914074e+02
0.045 0.195 0.195 2.742211213075518685e+02 2.701262478715380553e+02
0.045 0.195 0.205 2.743535841296520061e+02 2.653311855464456244e+02
0.045 0.195 0.215 2.671583293239696104e+02 2.639532350172605675e+02
0.045 0.195 0.225 2.729005329180878334e+02 2.658688261236528092e+02
0.045 0.195 0.235 2.779523938434945194e+02 2.710281288031863483e+02
0.045 0.205 0.205 2.663652314224224256e+02 2.575612047894280181e+02
0.045 0.205 0.215 2.600633977011086699e+02 2.532231764016475495e+02
0.045 0.205 0.225 2.556761448699793675e+02 2.521289246140352418e+02
0.045 0.205 0.235 2.626335640374744571e+02 2.541738203113552572e+02
0.045 0.205 0.245 2.599783808980237723e+02 2.593171358329284431e+02
0.045 0.215 0.215 2.437655508653822949e+02 2.460072515730149121e+02
0.045 0.215 0.225 2.435766794066852299e+02 2.420490255330018101e+02
0.045 0.215 0.235 2.463870113962157404e+02 2.411872134915336119e+02
0.045 0.215 0.245 2.466624543766119757e+02 2.433327177652236060e+02
0.045 0.215 0.255 2.502140619725883823e+02 2.484521188511684784e+02
0.045 0.225 0.225 2.376277197058799686e+02 2.352994654585123158e+02
0.045 0.225 0.235 2.360140666434149921e+02 2.316592573715885806e+02
0.045 0.225 0.245 2.341412419276715866e+02 2.309893250206901598e+02
0.045 0.225 0.255 2.353595213323404209e+02 2.332133182020808420e+02
0.045 0.225 0.265 2.332284530314736060e+02 2.383036305751143971e+02
0.045 0.235 0.235 2.308952351938546883e+02 2.253051675298793270e+02
0.045 0.235 0.245 2.254310508862943152e+02 2.219333282958849907e+02
0.045 0.235 0.255 2.209647665164003740e+02 2.214230601760772288e+02
0.045 0.235 0.265 2.251830194611549416e+02 2.237084606741696291e+02
0.045 0.235 0.275 2.207378871739684598e+02 2.287664739085655299e+02
0.045 0.245 0.245 2.160687899107632006e+02 2.159171670694842078e+02
0.045 0.245 0.255 2.158293271397506317e+02 2.127736640599121927e+02
0.045 0.245 0.265 2.131894141868708061e+02 2.123974001906604769e+02
0.045 0.245 0.275 2.156091544178741515e+02 2.147309984991472049e+02
0.045 0.245 0.285 2.141307894844463249e+02 2.197548723168106619e+02
0.045 0.255 0.255 2.140660120736066290e+02 2.070485994759507946e+02
0.045 0.255 0.265 2.071473085136503585e+02 2.041010820354032944e+02
0.045 0.255 0.275 2.049932041171852291e+02 2.038383449365098556e+02
0.045 0.255 0.285 2.051352301019397828e+02 2.062099111945283880e+02
0.045 0.255 0.295 2.072600407845190773e+02 2.111987246636554119e+02
0.045 0.265 0.265 2.018605553058979467e+02 1.986289442778637806e+02
0.045 0.265 0.275 1.995175264974869833e+02 1.958512443044703843e+02
0.045 0.265 0.285 1.981134830814283418e+02 1.956856756177788839e+02
0.045 0.265 0.295 2.004679529328072078e+02 1.980872702206897031e+02
0.045 0.275 0.275 1.951080403297113719e+02 1.906009260525291893e+02
0.045 0.275 0.285 1.903508131393364238e+02 1.879718857714156854e+02
